player,join_date,club
JORDAN PICKFORD,"Jul 1, 2017",Everton
JOÃO VIRGÍNIA,"Jul 1, 2020",Everton
ANDY LONERGAN,"Aug 20, 2021",Everton
JARRAD BRANTHWAITE,"Jan 13, 2020",Everton
JAMES TARKOWSKI,"Jul 2, 2022",Everton
BEN GODFREY,"Oct 5, 2020",Everton
MICHAEL KEANE,"Jul 3, 2017",Everton
VITALIY MYKOLENKO,"Jan 1, 2022",Everton
ASHLEY YOUNG,"Jul 13, 2023",Everton
NATHAN PATTERSON,"Jan 4, 2022",Everton
SEAMUS COLEMAN,"Jan 1, 2009",Everton
AMADOU ONANA,"Aug 9, 2022",Everton
JAMES GARNER,"Sep 1, 2022",Everton
ABDOULAYE DOUCOURÉ,"Sep 8, 2020",Everton
ANDRÉ GOMES,"Jul 1, 2019",Everton
IDRISSA GUEYE,"Sep 1, 2022",Everton
TYLER ONYANGO,"Jul 1, 2023",Everton
DELE ALLI,"Jan 31, 2022",Everton
DWIGHT MCNEIL,"Jul 28, 2022",Everton
ARNAUT DANJUMA,"Jul 23, 2023",Everton
LEWIS DOBBIN,"Jul 1, 2023",Everton
JACK HARRISON,"Aug 14, 2023",Everton
DOMINIC CALVERT-LEWIN,"Aug 31, 2016",Everton
BETO,"Aug 29, 2023",Everton
CHERMITI,"Aug 11, 2023",Everton
SAM JOHNSTONE,"Jul 1, 2022",Crystal Palace
DEAN HENDERSON,"Aug 31, 2023",Crystal Palace
JOE WHITWORTH,"Jan 11, 2023",Crystal Palace
REMI MATTHEWS,"Jul 12, 2021",Crystal Palace
MARC GUÉHI,"Jul 18, 2021",Crystal Palace
JOACHIM ANDERSEN,"Jul 28, 2021",Crystal Palace
CHRIS RICHARDS,"Jul 27, 2022",Crystal Palace
ROB HOLDING,"Sep 1, 2023",Crystal Palace
NATHAN FERGUSON,"Jul 27, 2020",Crystal Palace
JAMES TOMKINS,"Jul 5, 2016",Crystal Palace
TYRICK MITCHELL,"Jul 1, 2020",Crystal Palace
DANIEL MUÑOZ,"Jan 30, 2024",Crystal Palace
NATHANIEL CLYNE,"Oct 14, 2020",Crystal Palace
JOEL WARD,"Jul 1, 2012",Crystal Palace
CHEICK DOUCOURÉ,"Jul 11, 2022",Crystal Palace
JEFFERSON LERMA,"Jul 1, 2023",Crystal Palace
JAIRO RIEDEWALD,"Jul 24, 2017",Crystal Palace
ADAM WHARTON,"Feb 1, 2024",Crystal Palace
WILL HUGHES,"Aug 28, 2021",Crystal Palace
NAOUIROU AHAMADA,"Jan 31, 2023",Crystal Palace
JEFFREY SCHLUPP,"Jan 13, 2017",Crystal Palace
EBERECHI EZE,"Aug 28, 2020",Crystal Palace
MATHEUS FRANÇA,"Aug 5, 2023",Crystal Palace
MICHAEL OLISE,"Jul 8, 2021",Crystal Palace
JESURUN RAK-SAKYI,"Jul 1, 2022",Crystal Palace
ODSONNE EDOUARD,"Aug 31, 2021",Crystal Palace
JEAN-PHILIPPE MATETA,"Jan 31, 2022",Crystal Palace
JORDAN AYEW,"Jul 25, 2019",Crystal Palace
LUKE PLANGE,"Jan 31, 2022",Crystal Palace
BERND LENO,"Aug 2, 2022",Fulham
MAREK RODÁK,"Jul 1, 2019",Fulham
STEVEN BENDA,"Aug 30, 2023",Fulham
ISSA DIOP,"Aug 10, 2022",Fulham
CALVIN BASSEY,"Jul 28, 2023",Fulham
TOSIN ADARABIOYO,"Oct 5, 2020",Fulham
TIM REAM,"Aug 20, 2015",Fulham
ANTONEE ROBINSON,"Aug 20, 2020",Fulham
FODÉ BALLO-TOURÉ,"Sep 1, 2023",Fulham
TIMOTHY CASTAGNE,"Aug 29, 2023",Fulham
KENNY TETE,"Sep 10, 2020",Fulham
JOÃO PALHINHA,"Jul 4, 2022",Fulham
HARRISON REED,"Aug 30, 2020",Fulham
SAŠA LUKIĆ,"Jan 31, 2023",Fulham
TOM CAIRNEY,"Jul 1, 2015",Fulham
ALEX IWOBI,"Sep 1, 2023",Fulham
ANDREAS PEREIRA,"Jul 11, 2022",Fulham
BOBBY DE CORDOVA-REID,"Jan 24, 2020",Fulham
WILLIAN,"Sep 1, 2022",Fulham
HARRY WILSON,"Jul 24, 2021",Fulham
ADAMA TRAORÉ,"Aug 12, 2023",Fulham
ARMANDO BROJA,"Feb 1, 2024",Fulham
