manager,start_date,end_date,club
Mikel Arteta,"22 Dec, 2019",Present,Arsenal
Fredrik Ljungberg,"29 Nov, 2019","22 Dec, 2019",Arsenal
Unai Emery,"23 May, 2018","29 Nov, 2019",Arsenal
Arsene Wenger,"30 Sep, 1996","14 May, 2018",Arsenal
Pat Rice,"16 Sep, 1996","30 Sep, 1996",Arsenal
Stewart Houston,"12 Aug, 1996","16 Sep, 1996",Arsenal
Bruce Rioch,"08 Jun, 1995","12 Aug, 1996",Arsenal
Stewart Houston,"21 Feb, 1995","08 Jun, 1996",Arsenal
George Graham,"14 May, 1986","21 Feb, 1995",Arsenal
Steve Burtenshaw,"25 Mar, 1986","14 May, 1986",Arsenal
Don Howe,"16 Dec, 1983","22 Mar, 1986",Arsenal
Terry Neill,"08 Jul, 1976","16 Dec, 1983",Arsenal
Bertie Mee,"01 Jun, 1966","04 May, 1976",Arsenal
Billy Wright,"01 May, 1962","01 Jun, 1966",Arsenal
George Swindin,"01 Jul, 1958","01 May, 1962",Arsenal
Jack Crayston,"01 Nov, 1956","01 May, 1958",Arsenal
Tom Whittaker,"01 Jun, 1947","01 Oct, 1956",Arsenal
George Allison,"01 Jun, 1934","01 May, 1947",Arsenal
Herbert Chapman,"01 Jun, 1925","01 Jan, 1934",Arsenal
Leslie Knighton,"01 May, 1919","01 Jun, 1925",Arsenal
George Morrell,"01 Feb, 1908","01 May, 1915",Arsenal
Phil Kelso,"01 Aug, 1904","01 Feb, 1908",Arsenal
Harry Bradshaw,"01 Aug, 1899","01 May, 1904",Arsenal
George Elcoat,"01 Mar, 1898","31 May, 1899",Arsenal
Tom Mitchell,"01 Aug, 1897","01 Mar, 1898",Arsenal
Sam Hollis,"01 Aug, 1894","31 Jul, 1897",Arsenal
Marco Silva,"01 Jul, 2021",Present,Fulham
Scott Parker,"28 Feb, 2019","01 Jun, 2021",Fulham
Claudio Ranieri,"14 Nov, 2018","28 Feb, 2019",Fulham
Slavisa Jokanovic,"27 Dec, 2015","13 Nov, 2018",Fulham
Stuart Gray,"08 Dec, 2015","27 Dec, 2015",Fulham
Peter Grant,"20 Nov, 2015","08 Dec, 2015",Fulham
