EMILIANO MARTÍNEZ,"Sep 16, 2020",Aston Villa
ROBIN OLSEN,"Jul 1, 2022",Aston Villa
JOE GAUCI,"Feb 1, 2024",Aston Villa
PAU TORRES,"Jul 12, 2023",Aston Villa
EZRI KONSA,"Jul 11, 2019",Aston Villa
DIEGO CARLOS,"Jul 1, 2022",Aston Villa
TYRONE MINGS,"Jul 8, 2019",Aston Villa
CLÉMENT LENGLET,"Sep 1, 2023",Aston Villa
CALUM CHAMBERS,"Jan 27, 2022",Aston Villa
KORTNEY HAUSE,"Jul 1, 2019",Aston Villa
LUCAS DIGNE,"Jan 13, 2022",Aston Villa
ÁLEX MORENO,"Jan 11, 2023",Aston Villa
MATTY CASH,"Sep 3, 2020",Aston Villa
KAINE KESLER-HAYDEN,-,Aston Villa
BOUBACAR KAMARA,"Jul 1, 2022",Aston Villa
DOUGLAS LUIZ,"Jul 25, 2019",Aston Villa
JACOB RAMSEY,"Jul 1, 2020",Aston Villa
JOHN MCGINN,"Aug 8, 2018",Aston Villa
YOURI TIELEMANS,"Jul 1, 2023",Aston Villa
TIM IROEGBUNAM,"Jan 1, 2022",Aston Villa
NICOLÒ ZANIOLO,"Aug 18, 2023",Aston Villa
LEON BAILEY,"Aug 4, 2021",Aston Villa
MORGAN ROGERS,"Feb 1, 2024",Aston Villa
MOUSSA DIABY,"Jul 22, 2023",Aston Villa
EMILIANO BUENDÍA,"Jul 1, 2021",Aston Villa
OLLIE WATKINS,"Sep 9, 2020",Aston Villa
JHON DURÁN,"Jan 23, 2023",Aston Villa
ROBERT SÁNCHEZ,"Aug 5, 2023",Chelsea
DJORDJE PETROVIC,"Aug 26, 2023",Chelsea
MARCUS BETTINELLI,"Jul 28, 2021",Chelsea
LEVI COLWILL,"Jul 1, 2023",Chelsea
AXEL DISASI,"Aug 4, 2023",Chelsea
BENOÎT BADIASHILE,"Jan 5, 2023",Chelsea
WESLEY FOFANA,"Aug 31, 2022",Chelsea
TREVOH CHALOBAH,"Jul 1, 2021",Chelsea
MALANG SARR,"Aug 27, 2020",Chelsea
THIAGO SILVA,"Aug 28, 2020",Chelsea
ALFIE GILCHRIST,-,Chelsea
BEN CHILWELL,"Aug 26, 2020",Chelsea
MARC CUCURELLA,"Aug 5, 2022",Chelsea
REECE JAMES,"Jul 1, 2019",Chelsea
MALO GUSTO,"Jan 29, 2023",Chelsea
MOISÉS CAICEDO,"Aug 14, 2023",Chelsea
ROMÉO LAVIA,"Aug 18, 2023",Chelsea
LESLEY UGOCHUKWU,"Aug 1, 2023",Chelsea
ENZO FERNÁNDEZ,"Jan 31, 2023",Chelsea
CONOR GALLAGHER,"Jul 1, 2022",Chelsea
CARNEY CHUKWUEMEKA,"Aug 4, 2022",Chelsea
CESARE CASADEI,-,Chelsea
CHRISTOPHER NKUNKU,"Jul 1, 2023",Chelsea
COLE PALMER,"Sep 1, 2023",Chelsea
RAHEEM STERLING,"Jul 13, 2022",Chelsea
MYKHAYLO MUDRYK,"Jan 15, 2023",Chelsea
DIEGO MOREIRA,"Jul 1, 2023",Chelsea
NONI MADUEKE,"Jan 20, 2023",Chelsea
NICOLAS JACKSON,"Jul 1, 2023",Chelsea
DEIVID WASHINGTON,"Aug 24, 2023",Chelsea
GUGLIELMO VICARIO,"Jul 1, 2023",Tottenham Hotspur
FRASER FORSTER,"Jul 1, 2022",Tottenham Hotspur
BRANDON AUSTIN,"Aug 1, 2021",Tottenham Hotspur
ALFIE WHITEMAN,"Jul 1, 2019",Tottenham Hotspur
CRISTIAN ROMERO,"Aug 30, 2022",Tottenham Hotspur
MICKY VAN DE VEN,"Aug 8, 2023",Tottenham Hotspur
RADU DRĂGUȘIN,"Jan 11, 2024",Tottenham Hotspur
